"","values","countries"
"1",686,"Saint Pierre and Miquelon,South Sudan"
"2",691,"Burundi,Sierra Leone"
"3",694,"Anguilla,British Virgin Islands,Turks and Caicos Islands"
"4",697,"Guinea-Bissau,Mali,Saint Kitts and Nevis"
"5",700,"Dominica,Grenada,Mozambique,Syria,Timor"
"6",701,"Eritrea,Uganda"
"7",702,"Angola,Cape Verde,Haiti,Isle of Man,Madagascar,Niger,Papua New Guinea,Zimbabwe"
"8",703,"Bermuda,Chad,El Salvador,New Caledonia,Nicaragua"
"9",704,"Djibouti,Kyrgyzstan,Mauritius,Montserrat,Zambia"
"10",705,"Barbados,Gambia,Liberia,Montenegro"
"11",706,"Bahamas,Benin,Greenland,Somalia,Tanzania"
"12",707,"Central African Republic,Congo,Equatorial Guinea,Seychelles,Uzbekistan"
"13",708,"Curacao,Eswatini,Gabon,Ghana,Kosovo,Mauritania,Namibia,Rwanda,Saint Lucia,Saint Vincent and the Grenadines,Suriname,Trinidad and Tobago,Venezuela"
"14",709,"Antigua and Barbuda,Aruba,Cayman Islands,Ethiopia,French Polynesia,Guinea,Kazakhstan,Sudan,Uruguay"
"15",710,"Cuba,Guyana"
"16",711,"Bolivia,Cote d'Ivoire,Democratic Republic of Congo,Honduras,Jamaica,Turkey"
"17",712,"Burkina Faso,Mongolia"
"18",713,"Brunei,Panama"
"19",714,"Bulgaria,Cyprus,Maldives,Moldova"
"20",716,"Bhutan,Cameroon,Colombia,Costa Rica,Kenya,Peru,Slovakia,Vatican"
"21",717,"Bosnia and Herzegovina,Malta,Palestine"
"22",718,"Faeroe Islands,Gibraltar,Libya,Liechtenstein,Poland,Togo,Tunisia"
"23",719,"Bangladesh,Hungary,Jordan,Ukraine"
"24",720,"Andorra,Indonesia,Saudi Arabia"
"25",721,"Azerbaijan,Czechia,Dominican Republic,Ecuador,Portugal"
"26",722,"Ireland,Lithuania,Monaco,Qatar,San Marino"
"27",723,"Belarus,Iceland,New Zealand,Nigeria,Senegal"
"28",725,"Brazil,Georgia,Latvia,North Macedonia,Romania,Serbia"
"29",726,"Albania,Algeria,Austria,Croatia,Norway,Pakistan,Switzerland"
"30",727,"Afghanistan,Bahrain,Iraq,Kuwait,Luxembourg,Oman"
"31",728,"Chile,Greece,Low income"
"32",744,"International,Morocco,South Africa"
"33",748,"Armenia,Estonia"
"34",749,"Denmark,Slovenia"
"35",750,"Spain,Sweden"
"36",751,"Italy,Russia,United Kingdom"
"37",752,"Fiji,India,Philippines"
"38",753,"Finland,United Arab Emirates"
"39",755,"Cambodia,Germany,Sri Lanka"
"40",756,"Australia,Canada"
"41",757,"Nepal,Oceania"
"42",758,"France,Malaysia"
"43",759,"Europe,European Union,Hong Kong,Singapore,Vietnam"
"44",760,"Asia,China,High income,Japan,Lower middle income,Macao,North America,South Korea,United States,Upper middle income,World"
"45",781,"Argentina,Mexico"
